price,amount,timestamp,instrument
105152.5,39640.0,1749985343542,BTC-PERPETUAL
105152.0,3000.0,1749985343542,BTC-PERPETUAL
105151.5,480.0,1749985343542,BTC-PERPETUAL
105151.0,9070.0,1749985343542,BTC-PERPETUAL
105150.5,30000.0,1749985343542,BTC-PERPETUAL
105150.0,240.0,1749985343542,BTC-PERPETUAL
105148.0,150.0,1749985343542,BTC-PERPETUAL
105145.0,90.0,1749985343542,BTC-PERPETUAL
105144.5,1980.0,1749985343542,BTC-PERPETUAL
105144.0,6600.0,1749985343542,BTC-PERPETUAL
105143.5,6170.0,1749985343542,BTC-PERPETUAL
105143.0,18600.0,1749985343542,BTC-PERPETUAL
105140.5,500.0,1749985343542,BTC-PERPETUAL
105140.0,320.0,1749985343542,BTC-PERPETUAL
105138.0,1500.0,1749985343542,BTC-PERPETUAL
105137.5,20000.0,1749985343542,BTC-PERPETUAL
105137.0,106740.0,1749985343542,BTC-PERPETUAL
105136.5,50.0,1749985343542,BTC-PERPETUAL
105136.0,25000.0,1749985343542,BTC-PERPETUAL
105135.5,1050.0,1749985343542,BTC-PERPETUAL
